raspPI_filestart,spp,trialdate,hatchdate,dph,staff,contaminant,treattemp,nomconc,concname,rep,trialIID,accstart,trialstart,trailend,tunneltemp,tlmm,massg,burst,startside,burstTo,stalledAt,burstQual,stimQual,nFalseStart,Notes
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,1,L,24,25,good,good,0,
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,2,R,10,13,good,good,0,burst last few gates too
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,3,L,11,11,good,good,0,abrupt stop and reversal at end of burst
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,4,R,6,8,okay,okay,0,
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,5,R,24,25,good,good,0,
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,6,L,13,13,okay,good,0,
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,7,R,19,20,good,good,0,
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,8,L,24,25,good,good,0,hard pinch
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,9,R,2,16,poor,good,0,"burst up and down, not straight"
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,10,L,5,9,okay,good,0,tail is red
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,11,R,0,5,poor,good,0,not a directed burst
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,12,R,5,9,poor,good,1,penciling in tunnel and post-burst chamber
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,13,L,9,15,okay,good,0,
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,14,R,4,17,okay,good,0,"high in water column, 'bouncy' burst"
WSContam_100ngR1_T16,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,100,100ng,1,T16,13:54,13:59,14:16,18,55.39,0.6976,15,L,9,16,okay,good,0,
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,1,L,6,16,okay,good,1,disoriented before burst
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,2,R,8,17,okay,okay,0,very active in chamber
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,3,L,5,13,okay,good,0,up and down burst
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,4,R,4,17,okay,good,1,
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,5,L,10,13,okay,good,0,up and down burst
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,6,R,4,10,okay,good,0,"C-start in chamber, butslow swim out"
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,7,L,6,13,okay,good,0,
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,8,R,9,11,good,good,0,upside down but not LOE
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,9,L,5,10,okay,good,1,"harder pinch, still limited reaction"
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,10,R,7,14,good,good,0,"harder pinch, penciling / tail propring in back corner of chamber"
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,11,L,6,8,okay,good,0,
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,12,R,12,14,good,good,0,up and down burst
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,13,L,2,7,poor,good,0,
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,14,R,12,16,good,good,0,straight along bottom
WSContam_500ngR2_T17,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,2,T17,10:34,10:40,10:58,18.7,69.96,1.3568,15,L,9,14,good,good,0,
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,1,R,6,13,good,good,0,angular swim straigh to surface at 6
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,2,L,10,12,poor,good,1,"1st gate broken by door, thus called burst poor (else was good)"
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,3,L,11,12,good,good,0,
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,4,R,17,18,good,good,1,
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,5,L,13,17,good,good,0,circle in chamber befor burst
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,6,R,10,15,good,good,0,
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,7,L,15,17,good,good,0,
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,8,R,5,10,good,good,0,
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,9,R,8,12,good,good,0,straight burst
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,10,L,17,17,good,good,0,upside down but not LOE
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,11,R,10,14,good,good,0,straighter
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,12,L,0,6,poor,poor,1,"penciled on corks, lazy swim"
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,13,L,12,1,good,good,0,angled upwards at start of burst
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,14,R,4,11,poor,okay,1,"false start, wedged between cork and door"
WSContam_500ngR3_T18,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,500,500ng,3,T18,11:00,11:05,11:22,18.1,63.58,0.9783,15,L,17,19,good,good,0,pretty straight
WSContam_100ngR2_T19,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,100,100ng,2,T19,11:25,11:30,11:48,18.1,69.59,1.5144,1,L,8,10,okay,good,0,"scute maybe got stuck on door on way out, stuttered"
WSContam_100ngR2_T19,WS,7/16/20,5/28/20,49,"SB, AES",bif,15,100,100ng,2,T19,11:25,11:30,11:48,18.1,69.59,1.5144,2,R,4,10,poor,okay,0,
